RC,UFI,UNI,LAT,LONG,DMS_LAT,DMS_LONG,UTM,JOG,FC,DSG,PC,CC1,ADM1,ADM2,DIM,CC2,NT,LC,SHORT_FORM,GENERIC,SORT_NAME,FULL_NAME,FULL_NAME_ND,MODIFY_DATE
1,337071,418893,-12.8280556,45.19,-124941,451124,NL28,SD38-02,H,STM,,MF,0,,,,N,,,Mro,IRONIBE MROOUA,Mro oua Ironi Bé,Mro oua Ironi Be,1997-12-23
3,335387,416863,-12.6919444,45.0677778,-124131,450404,NL09,SD38-02,T,BCH,,MF,0,,,,N,,,Mtsanga,JIVA MTSANGA,Mtsanga Jiva,Mtsanga Jiva,1997-12-23
1,337078,418901,-12.8208333,45.1294444,-124915,450746,NL18,SD38-02,P,PPL,,MF,0,,,,N,,,,KAHANI,Kahani,Kahani,1997-12-23
3,335419,416898,-12.7194444,45.0383333,-124310,450218,NL09,SD38-02,T,HLL,,MF,0,,,,N,,,Tsiraka,KAHIRIMTROU TSIRAKA,Tsiraka Kahirimtrou,Tsiraka Kahirimtrou,1997-12-23
3,336806,418552,-12.7680556,45.2563889,-124605,451523,NL28,SD38-02,T,ISL,,MF,0,,,,N,,,,KAKAZOU,Kakazou,Kakazou,1997-12-23
3,336806,418553,-12.7680556,45.2563889,-124605,451523,NL28,SD38-02,T,ISL,,MF,0,,,,V,,,,KAKAZOU ILE,Île Kakazou,Ile Kakazou,1997-12-23
3,337561,419419,-12.9097222,45.1475,-125435,450851,NL17,SD38-02,H,STMI,,MF,0,,,,N,,,Mroni,KALE MRONI,Mroni Kalé,Mroni Kale,1997-12-23
3,335962,417557,-12.7272222,45.185,-124338,451106,NL29,SD38-02,P,PPL,,MF,0,,,,N,,,,KANGANI,Kangani,Kangani,1997-12-23
3,337892,419794,-12.9672222,45.0991667,-125802,450557,NL16,SD38-02,H,BAY,,MF,0,,,,N,,,Baie,KANI BAIEDE,Baie de Kani,Baie de Kani,1997-12-23
3,337894,419796,-12.9613889,45.1091667,-125741,450633,NL16,SD38-02,P,PPL,,MF,0,,,,N,,,,KANIBE,Kani Bé,Kani Be,1997-12-23
3,337885,419786,-12.9536111,45.1033333,-125713,450612,NL16,SD38-02,P,PPL,,MF,0,,,,N,,,,KANIKELI,Kani Kéli,Kani Keli,1997-12-23
3,337884,419785,-12.9519444,45.0975,-125707,450551,NL16,SD38-02,T,HLL,,MF,0,,,,N,,,Mlima,KANIKELI MLIMA,Mlima Kani Kéli,Mlima Kani Keli,1997-12-23
3,337880,419781,-12.9322222,45.1011111,-125556,450604,NL17,SD38-02,T,BCH,,MF,0,,,,N,,,Mtsanga,KANOUA MTSANGA,Mtsanga Kanoua,Mtsanga Kanoua,1997-12-23
3,336731,418462,-12.7702778,45.2180556,-124613,451305,NL28,SD38-02,P,PPL,,MF,0,,,,N,,,,KAOUENI,Kaouéni,Kaoueni,1997-12-23
3,336722,418452,-12.7661111,45.2263889,-124558,451335,NL28,SD38-02,H,STM,,MF,0,,,,N,,,Mro,KAOUENILAJOLI MROOUA,Mro oua Kaouénilajoli,Mro oua Kaouenilajoli,1997-12-23
3,335789,417308,-12.7938889,45.1191667,-124738,450709,NL18,SD38-02,H,LK,,MF,0,,,,N,,,Dziani,KARIHANI DZIANI,Dziani Karihani,Dziani Karihani,1997-12-23
3,337863,419762,-12.9288889,45.1172222,-125544,450702,NL17,SD38-02,P,PPL,,MF,0,,,,N,,,,KARONI,Karoni,Karoni,1997-12-23
