Année de naissance;Code commune;Libellé commune;Sexe;Prénom;Nombre
2018;35238;Rennes;Masculin;Asael;1
2018;35238;Rennes;Masculin;Asher-Junior;1
2018;35238;Rennes;Masculin;Blaise;1
2018;35238;Rennes;Masculin;Joshua;6
2018;35238;Rennes;Masculin;Mahé;12
2018;35238;Rennes;Masculin;Islem;1
2018;35238;Rennes;Masculin;Kaelig;1
2018;35238;Rennes;Masculin;Khenan;1
2018;35238;Rennes;Masculin;Lisandre;1
2018;35238;Rennes;Masculin;Maonil;1
2018;35238;Rennes;Masculin;Mun;1
2018;35238;Rennes;Masculin;Ryad;1
2018;35238;Rennes;Masculin;Sohel;1
2018;35238;Rennes;Masculin;Souheyl;1
2018;35238;Rennes;Masculin;Swanny;1
2018;35238;Rennes;Féminin;Axelle;4
2018;35238;Rennes;Féminin;Aïcha;5
2018;35238;Rennes;Féminin;Alana;3
2018;35238;Rennes;Féminin;Alis;2
2018;35238;Rennes;Féminin;Anaë;2
2018;35238;Rennes;Féminin;Elena;5
2018;35238;Rennes;Féminin;Abbie;1
2018;35238;Rennes;Féminin;Eve;2
2018;35238;Rennes;Féminin;Azélina;1
2018;35238;Rennes;Féminin;Inès;42
2018;35238;Rennes;Féminin;Azilis;1
2018;35238;Rennes;Féminin;Joy;2
2018;35238;Rennes;Féminin;Danaé;1
2018;35238;Rennes;Féminin;Effie;1
2018;35238;Rennes;Masculin;Ayden;9
2018;35238;Rennes;Féminin;Alia;6
2018;35238;Rennes;Féminin;Anaëlle;4
2018;35238;Rennes;Féminin;Asma;4
2018;35238;Rennes;Féminin;Ariana;3
2018;35238;Rennes;Féminin;Ayah;3
2018;35238;Rennes;Féminin;Alma;2
2018;35238;Rennes;Féminin;Amélia;2
2018;35238;Rennes;Féminin;Ayla;2
2018;35238;Rennes;Féminin;Elsa;16
2018;35238;Rennes;Féminin;Aaliyah;1
2018;35238;Rennes;Féminin;Aliette;1
2018;35238;Rennes;Féminin;Alyona;1
2018;35238;Rennes;Féminin;Amélya;1
2018;35238;Rennes;Masculin;Houmad;1
2018;35238;Rennes;Masculin;Irmuun;1
2018;35238;Rennes;Masculin;Ishann;1
2018;35238;Rennes;Masculin;Marcelin;2
2018;35238;Rennes;Masculin;Jayceone;1
2018;35238;Rennes;Masculin;Mathys;5
2018;35238;Rennes;Masculin;Kaïm;1
2018;35238;Rennes;Masculin;Kurtis;1
2018;35238;Rennes;Masculin;Larry;1
2018;35238;Rennes;Masculin;Louay;1
2018;35238;Rennes;Masculin;Loucas;1
2018;35238;Rennes;Masculin;Madih;1
2018;35238;Rennes;Masculin;Manaoh;1
2018;35238;Rennes;Masculin;Manoha;1
2018;35238;Rennes;Masculin;Marty;1
2018;35238;Rennes;Masculin;Mokhtar;1
2018;35238;Rennes;Masculin;Orphée;1
2018;35238;Rennes;Masculin;Sadabou;1
2018;35238;Rennes;Masculin;Tilio;8
2018;35238;Rennes;Masculin;Steeve;1
2018;35238;Rennes;Masculin;Taïwan;1
2018;35238;Rennes;Masculin;Walid;2
2018;35238;Rennes;Masculin;Thiméo;1
2018;35238;Rennes;Masculin;Vaiiti;1
2018;35238;Rennes;Masculin;Wesley;1
2018;35238;Rennes;Masculin;Yaya;1
2018;35238;Rennes;Masculin;Zyad;2
2018;35238;Rennes;Masculin;Zraïm;1
2018;35238;Rennes;Féminin;Adèle;48
2018;35238;Rennes;Masculin;Alix;3
2018;35238;Rennes;Masculin;Carl;3
2018;35238;Rennes;Masculin;Amaël;2
