id;name;latitude;longitude;country;population
301;Puerto Piray;-26.46937;-54.70736;AR;8557
302;Puerto Libertad;-25.91958;-54.58229;AR;6143
303;Puerto Iguazú;-25.59912;-54.57355;AR;32038
304;Puerto Esperanza;-26.02267;-54.61356;AR;15579
305;Puerto Eldorado;-26.40843;-54.69463;AR;54189
306;Presidencia de la Plaza;-27.00147;-59.84243;AR;12231
307;Posadas;-27.36708;-55.89608;AR;323739
308;Pontevedra;-34.74785;-58.70072;AR;33515
309;Pirané;-25.73239;-59.10879;AR;19124
310;Pilar;-34.45866;-58.9142;AR;226517
311;Perugorría;-29.34132;-58.61059;AR;5685
312;Paso de los Libres;-29.71251;-57.08771;AR;43805
313;Paso de la Patria;-27.31676;-58.57197;AR;5818
314;Panambí;-27.72369;-54.91515;AR;5970
315;Pampa del Indio;-26.04982;-59.93728;AR;11588
316;Palo Santo;-25.56332;-59.33781;AR;5324
317;Oberá;-27.48706;-55.11994;AR;56528
318;Nuestra Señora del Rosario de Caa Catí;-27.75072;-57.62073;AR;7573
319;Necochea;-38.5545;-58.73961;AR;80478
320;Muñiz;-34.55622;-58.70739;AR;26221
321;Morón;-34.6509;-58.61956;AR;319934
322;Monte Caseros;-30.25359;-57.63626;AR;24671
323;Montecarlo;-26.5662;-54.757;AR;22229
324;Mocoretá;-30.61891;-57.96344;AR;6088
325;Merlo;-34.66627;-58.72927;AR;244168
326;Mercedes;-34.65145;-59.43068;AR;52949
327;Mercedes;-29.18416;-58.07519;AR;30649
328;Mburucuyá;-28.04532;-58.22835;AR;9012
329;Margarita Belén;-27.2616;-58.97219;AR;5547
330;Mar del Plata;-38.00042;-57.5562;AR;553935
331;Malabrigo;-29.34636;-59.96957;AR;7026
332;Maciá;-32.1722;-59.39947;AR;5806
333;Luján;-34.57028;-59.105;AR;81749
334;Los Polvorines;-34.50316;-58.70596;AR;53354
335;Las Toscas;-28.3529;-59.25795;AR;11811
336;Larroque;-33.03595;-59.00125;AR;6200
337;La Plata;-34.92145;-57.95453;AR;694167
338;La Paz;-30.74179;-59.64517;AR;24716
339;La Leonesa;-27.03786;-58.70347;AR;10067
340;La Cruz;-29.17443;-56.64326;AR;8591
341;Jardín América;-27.04346;-55.22698;AR;24905
342;Itatí;-27.27043;-58.24458;AR;7902
343;Ibarreta;-25.21438;-59.85851;AR;8687
344;Hurlingham;-34.5904;-58.62904;AR;60000
345;Gualeguaychú;-33.00937;-58.51722;AR;78676
346;Gualeguay;-33.14156;-59.30966;AR;33120
347;Goya;-29.13995;-59.26343;AR;70245
348;Gobernador Roca;-27.18636;-55.46433;AR;6315
349;Gobernador Virasora;-28.05;-56.03333;AR;28756
350;General Pacheco;-34.45256;-58.64312;AR;43287
351;General José de San Martín;-26.53743;-59.34158;AR;31758
352;Garupá;-27.48171;-55.82921;AR;28814
353;Garuhapé;-26.81768;-54.95665;AR;8259
354;Formosa;-26.18489;-58.17313;AR;221383
355;Fontana;-27.41813;-59.02392;AR;26745
356;Federal;-30.95465;-58.78326;AR;16333
357;Federación;-31.00621;-57.89962;AR;13789
358;Esquina;-30.01476;-59.5289;AR;26399
359;El Soberbio;-27.29847;-54.19877;AR;19571
360;El Colorado;-26.30808;-59.37291;AR;12780
361;El Alcázar;-26.71459;-54.81523;AR;5127
362;Dos de Mayo;-27.02277;-54.68669;AR;14544
363;Don Torcuato;-34.49459;-58.62729;AR;64867
364;Dolores;-36.31321;-57.67918;AR;25190
365;Curuzú Cuatiá;-29.79171;-58.0546;AR;36390
366;Corrientes;-27.46784;-58.8344;AR;339067
367;Concordia;-31.39296;-58.02089;AR;145210
368;Concepción del Uruguay;-32.48463;-58.23217;AR;67895
369;Concepción de la Sierra;-27.98311;-55.52031;AR;7398
370;Comandante Fontana;-25.33453;-59.68212;AR;5655
371;Colonia Aurora;-27.47428;-54.52498;AR;8407
372;Colegiales;-34.57365;-58.44924;AR;57000
373;Clorinda;-25.28481;-57.71851;AR;15000
374;Chajarí;-30.75048;-57.97962;AR;30655
375;Cerro Azul;-27.6331;-55.4962;AR;5323
376;Capioví;-26.92998;-55.06084;AR;5860
377;Candelaria;-27.4595;-55.74536;AR;11039
378;Campo Viera;-27.33271;-55.05651;AR;9228
379;Campo Ramón;-27.4549;-55.02122;AR;10088
380;Campo Grande;-27.2077;-54.97977;AR;12040
381;Campana;-34.16327;-58.95919;AR;81612
382;Buenos Aires;-34.61315;-58.37723;AR;13076300
383;Bovril;-31.34311;-59.44512;AR;7977
384;Boedo;-34.63333;-58.41667;AR;48231
385;Bernardo de Irigoyen;-26.2552;-53.64581;AR;10889
386;Berazategui;-34.76531;-58.21278;AR;167498
387;Belgrano;-34.5627;-58.45829;AR;138942
388;Barranqueras;-27.48132;-58.93925;AR;50823
389;Barracas;-34.64966;-58.38341;AR;77474
390;Balcarce;-37.84616;-58.25522;AR;38823
391;Azul;-36.77698;-59.85854;AR;53941
392;Avellaneda;-29.11761;-59.65834;AR;23077
393;Aristóbulo del Valle;-27.09625;-54.89626;AR;20683
394;Alvear;-29.09683;-56.55043;AR;7917
395;Alba Posse;-27.56978;-54.68262;AR;6652
396;Zapala;-38.89916;-70.05442;AR;31534
397;Yuto;-23.64342;-64.47194;AR;7732
398;Yerba Buena;-26.81667;-65.31667;AR;50783
399;Yacimiento Río Turbio;-51.57321;-72.3508;AR;6650
400;Villa Regina;-39.1;-67.06667;AR;31209
401;Villa Paula de Sarmiento;-31.4933;-68.53838;AR;19092
402;Villa Ojo de Agua;-29.50003;-63.69377;AR;5832
403;Villa Nueva;-32.43293;-63.24763;AR;16841
404;Villa María;-32.40751;-63.24016;AR;92453
405;Villa La Angostura;-40.76173;-71.64631;AR;7526
406;Villa Huidobro;-34.83826;-64.58686;AR;5155
407;Villa General Belgrano;-31.97828;-64.55627;AR;5888
408;Villa Dolores;-31.94585;-65.18958;AR;28009
409;Villa de Soto;-30.85523;-64.99947;AR;7303
410;Villa del Totoral;-30.81667;-63.71667;AR;7110
411;Villa Constitución;-33.22778;-60.3297;AR;44271
412;Chañar Ladeado;-33.32524;-62.03831;AR;5639
413;Villa Carlos Paz;-31.42414;-64.49778;AR;69451
414;Villa Cañás;-34.00565;-61.60757;AR;9328
415;Villa Berthet;-27.29174;-60.41263;AR;12029
416;Villa Ángela;-27.57383;-60.71526;AR;43511
417;Villa Allende;-31.29458;-64.29538;AR;21683
418;Viedma;-40.81345;-62.99668;AR;48940
419;Vicuña Mackenna;-33.91965;-64.39215;AR;8994
420;Victorica;-36.21505;-65.43586;AR;6565
421;Victoria;-32.61841;-60.15478;AR;25139
422;Viale;-31.86782;-60.00722;AR;8939
423;Vera;-29.4593;-60.21261;AR;19797
424;Venado Tuerto;-33.74556;-61.96885;AR;72340
425;Veinticinco de Mayo;-37.7741;-67.71638;AR;6962
426;Veinticinco de Mayo;-35.4323;-60.17271;AR;24668
427;Valle Hermoso;-31.11732;-64.48084;AR;5486
428;Ushuaia;-54.81084;-68.31591;AR;58028
429;Unquillo;-31.23073;-64.31615;AR;15369
430;Trevelin;-43.0858;-71.46386;AR;6395
431;Tres Isletas;-26.34067;-60.43207;AR;24747
432;Tres Arroyos;-38.37394;-60.27978;AR;47136
433;Trelew;-43.24895;-65.30505;AR;93442
434;Trancas;-26.23136;-65.28093;AR;6658
435;Totoras;-32.5844;-61.16852;AR;9587
436;Tostado;-29.23202;-61.76917;AR;14000
437;Tinogasta;-28.06319;-67.56488;AR;14509
438;Tilisarao;-32.73292;-65.29109;AR;5478
439;Tilcara;-23.57817;-65.39516;AR;5640
440;Termas de Río Hondo;-27.49362;-64.85972;AR;27838
441;Tartagal;-22.51637;-63.80131;AR;60819
442;Tancacha;-32.24309;-63.9807;AR;5184
443;Tafí Viejo;-26.73201;-65.25921;AR;48459
444;Taco Pozo;-25.61557;-63.26708;AR;8470
445;Suncho Corral;-27.93357;-63.42938;AR;6087
446;Sunchales;-30.94404;-61.56148;AR;18757
447;Simoca;-27.26272;-65.35647;AR;7939
448;Sierra Grande;-41.60603;-65.35574;AR;6978
449;Senillosa;-39.01412;-68.43281;AR;6394
450;Sastre;-31.76762;-61.82887;AR;5521
451;Sarmiento;-45.58815;-69.06996;AR;8292
452;Santo Tomé;-31.66274;-60.7653;AR;59072
453;Santiago del Estero;-27.79511;-64.26149;AR;354692
454;Santa Sylvina;-27.83261;-61.13747;AR;9040
455;Santa Rosa de Río Primero;-31.15231;-63.40191;AR;6788
456;Santa Rosa de Calamuchita;-32.06905;-64.53631;AR;9504
457;Santa Rosa;-36.61667;-64.28333;AR;111424
458;Santa Lucía;-31.53987;-68.49503;AR;43565
459;Santa Fe;-31.64881;-60.70868;AR;489505
460;San Salvador de Jujuy;-24.19457;-65.29712;AR;305891
461;San Ramón de la Nueva Orán;-23.13705;-64.32426;AR;74059
462;San Rafael;-34.61772;-68.33007;AR;109163
463;San Pedro de Jujuy;-24.23127;-64.86614;AR;58430
464;San Nicolás de los Arroyos;-33.33425;-60.2108;AR;127742
465;San Miguel de Tucumán;-26.82414;-65.2226;AR;781023
466;San Martín de los Andes;-40.15789;-71.35337;AR;23519
467;San Martín;-33.08103;-68.46814;AR;82549
468;San Martín;-31.42957;-68.50065;AR;10140
469;San Luis;-33.29501;-66.33563;AR;183982
470;San Justo;-30.78913;-60.59189;AR;21809
471;San Juan;-31.5375;-68.53639;AR;447048
472;San José de Jáchal;-30.24057;-68.74693;AR;21018
473;San Jorge;-31.89618;-61.85984;AR;16873
474;San Francisco;-31.42797;-62.08266;AR;59062
475;San Fernando del Valle de Catamarca;-28.46957;-65.78524;AR;188812
476;San Cristóbal;-30.31053;-61.23724;AR;14286
477;San Carlos Centro;-31.72864;-61.09192;AR;10465
478;San Bernardo;-27.28782;-60.71252;AR;11101
479;San Benito;-31.78371;-60.44156;AR;6771
480;San Antonio Oeste;-40.73193;-64.94769;AR;16966
481;San Agustín de Valle Fértil;-30.63353;-67.46821;AR;6864
482;Sampacho;-33.3839;-64.72211;AR;7238
483;Salta;-24.7859;-65.41166;AR;512686
484;Salsipuedes;-31.13725;-64.29589;AR;6411
485;Rufino;-34.26827;-62.71262;AR;18361
486;Rosario;-32.94682;-60.63932;AR;1173533
487;Roldán;-32.89846;-60.90681;AR;12468
488;Río Tercero;-32.17301;-64.11405;AR;53389
489;Río Segundo;-31.6526;-63.9099;AR;18155
490;Río Grande;-53.78769;-67.70946;AR;52681
491;Río Gallegos;-51.62261;-69.21813;AR;85700
492;Río Cuarto;-33.13067;-64.34992;AR;153757
493;Río Ceballos;-31.16486;-64.32241;AR;16632
494;Recreo;-31.49076;-60.73299;AR;12798
495;Recreo;-29.28184;-65.06096;AR;14204
496;Realicó;-35.03658;-64.2447;AR;7151
497;Rawson;-43.30016;-65.10228;AR;26335
498;Rafaela;-31.25033;-61.4867;AR;88713
499;Rada Tilly;-45.92462;-67.55424;AR;6208
500;Quitilipi;-26.86913;-60.21683;AR;32083
501;Quimilí;-27.64615;-62.41655;AR;10959
502;Punta Alta;-38.87588;-62.07359;AR;57209
503;San Julián;-49.30554;-67.72743;AR;6143
504;Puerto Madryn;-42.7692;-65.03851;AR;64555
505;Puerto Deseado;-47.75034;-65.89382;AR;10237
506;Presidencia Roque Sáenz Peña;-26.78522;-60.43876;AR;81879
507;Pozo del Molle;-32.0186;-62.91984;AR;5429
508;Pocito;-31.68333;-68.58333;AR;40969
509;Plottier;-38.96667;-68.23333;AR;25186
510;Plaza Huincul;-38.92598;-69.20863;AR;12273
511;Pilar;-31.6789;-63.87964;AR;12488
512;Pico Truncado;-46.7949;-67.95731;AR;14985
513;Pergamino;-33.88995;-60.57357;AR;87652
514;Pérez;-32.99835;-60.76791;AR;24436
515;Paraná;-31.73271;-60.52897;AR;262295
516;Pampa del Infierno;-26.50517;-61.17436;AR;8176
517;Palpalá;-24.25647;-65.21163;AR;48199
518;Palma Sola;-23.97771;-64.30311;AR;5318
519;Oncativo;-31.91353;-63.68201;AR;12660
520;Oliva;-32.04158;-63.56978;AR;11629
521;Olavarría;-36.89272;-60.32254;AR;86320
522;Nueve de Julio;-35.44437;-60.88313;AR;34718
523;Nueve de Julio;-31.66914;-68.39023;AR;7652
524;Neuquén;-38.95161;-68.0591;AR;242092
525;Morteros;-30.71164;-61.99862;AR;15129
526;Monteros;-27.16741;-65.49832;AR;23771
527;Monte Maíz;-33.20462;-62.60085;AR;6920
528;Monte Cristo;-31.34312;-63.94437;AR;6914
529;Monte Buey;-32.91642;-62.45669;AR;5497
